country,year,population,energy_use,emissions,renewable_pct,mean_temp,gdp
Equatorial Guinea,1995,571264.0,246.3449513586065,2.142,,25.61458333333333,248.31489620885503
Eritrea,1995,2025267.0,492.68886637698,0.39,,27.136666666666667,285.4021840083308
Estonia,1995,1436634.0,3917.023227552884,12.427,0.115,6.165833333333333,3134.3897534540665
Ethiopia,1995,57537335.0,364.8870071463372,0.044,,23.3965,136.52361908896285
Fiji,1995,798746.0,,0.922,,25.716,2466.743478159032
Finland,1995,5107790.0,5662.00742267697,11.379,10.328,2.354083333333333,26246.274321446235
France,1995,59541294.0,3975.889047286107,6.65,0.476,13.89975,26791.81519823693
Gabon,1995,1123213.0,1194.215661196977,4.648,,24.936916666666665,4414.875582857198
"Gambia, The",1995,1264313.0,,,,,621.6813912696456
Georgia,1995,4657722.0,799.9046007689403,0.46,,9.427583333333333,578.3369234608658
Germany,1995,81678051.0,4119.892343145382,11.46,0.458,9.0335,31747.244939844702
Ghana,1995,17399017.0,371.9795730232553,0.266,,27.21225,371.5372430338355
Greece,1995,10562153.0,2147.148732189337,8.267,0.0,15.10225,12779.081491606008
Grenada,1995,103869.0,,1.446,,27.63533333333333,3294.269883396572
Guatemala,1995,10312996.0,516.4474210263701,0.687,,23.96066666666667,1421.061778097957
Guinea,1995,7553249.0,,0.148,,25.94608333333333,713.0314605586832
Guinea-Bissau,1995,1119949.0,,0.092,,,589.4870230819454
Guyana,1995,758388.0,,2.063,,26.888,819.6685415849051
Haiti,1995,7562546.0,337.9826532968117,0.116,,27.10425,372.0061046651246
Honduras,1995,5739637.0,492.0578260736472,0.668,,25.832166666666662,931.6695472577384
Hungary,1995,10328965.0,2503.258696557952,5.954,0.176,10.30275,4509.417409100772
Iceland,1995,267468.0,8405.255963353897,9.229,5.792,1.06825,26633.59137615486
India,1995,960301044.0,361.6406732942456,0.792,0.132,24.42975,375.1760053730496
Indonesia,1995,199888057.0,574.7571879427794,1.112,4.088,26.22966666666667,1011.2261420556772
"Iran, Islamic Rep.",1995,62205567.0,1626.990516521407,,,,1550.009595523704
Iraq,1995,20825860.0,1580.6793744149918,3.834,0.0,22.431,619.1355309270377
Ireland,1995,3608841.0,2952.150189497958,9.93,0.0,10.518916666666668,19158.45647739073
Israel,1995,5545000.0,2796.310410243824,9.312,0.0,20.043333333333333,19025.684050251715
Italy,1995,56844303.0,2799.59479171327,7.815,1.542,13.234083333333333,20712.179869032418
Jamaica,1995,2500151.0,1203.5673159987375,3.669,,26.89391666666667,2630.8493538282164
Japan,1995,125472000.0,3915.67795216885,9.834,1.414,12.475416666666666,44197.61910139078
Jordan,1995,4752096.0,905.1935880676548,2.831,,19.847916666666663,1415.711515921284
Kazakhstan,1995,16730536.0,3122.782210731916,10.069,0.0,7.335333333333334,1217.7913876986297
Kenya,1995,26601751.0,457.7018692104027,0.283,,24.47533333333333,340.06484217542925
Kiribati,1995,81234.0,,0.361,,27.46591666666667,844.4296058627227
"Korea, Dem. People's Rep.",1995,22669304.0,969.8104901642856,,,,
"Korea, Rep.",1995,45092991.0,3234.297610740725,,,,12564.724374309164
Kosovo,1995,2137514.0,,,,,
Kuwait,1995,1681513.0,8750.10113429804,33.46,0.0,25.49175,16168.165602374049
Kyrgyz Republic,1995,4560454.0,522.8004732237251,,,,364.25036525834463
Latvia,1995,2485056.0,1849.740490171872,3.674,0.0,6.566333333333334,2256.773603870537
Lebanon,1995,3960735.0,1115.1008329230358,3.094,,18.104833333333332,2958.7426395746165
Lesotho,1995,1951437.0,,0.875,,14.246,513.4134487961745
Liberia,1995,2169162.0,,0.192,,25.94875,62.14381406275788
Libya,1995,4906843.0,2850.593104618998,11.126,,22.9495,5205.257063787405
Liechtenstein,1995,30776.0,,6.575,,5.334583333333334,78909.70433777182
Lithuania,1995,3629102.0,2401.1663428438687,4.151,0.0,7.0073333333333325,2182.6915693150504
Luxembourg,1995,408625.0,7705.611392451099,22.375,4.082,10.342666666666666,51032.34963531796
Madagascar,1995,14051275.0,243.7961873481175,0.085,,23.47975,273.1496539459756
Malawi,1995,10150117.0,,0.089,,22.301666666666662,200.3623700072472
Malaysia,1995,20330599.0,1669.4307615698044,5.391,0.0,26.3345,4363.144583330344
Mali,1995,10185365.0,,0.058,,28.904,265.7170516121872
Malta,1995,377419.0,1879.0289738099384,6.377,0.0,19.07275,9828.22830085662
Mauritania,1995,2312017.0,,0.439,,28.26,904.7191700710424
Mauritius,1995,1122457.0,697.0311589510352,1.576,,24.023416666666662,3648.016496222559
Mexico,1995,90862455.0,1461.030503540566,3.642,4.266,21.370666666666665,4183.878477274793
Moldova,1995,2953200.0,1597.878401422135,2.584,,9.477916666666667,593.5931770491607
Monaco,1995,31609.0,,,,9.756583333333332,99032.23750540914
Mongolia,1995,2224945.0,1191.5430713101944,3.355,,0.7484999999999999,652.6745628491504
Montenegro,1995,611712.0,,2.369,,10.383583333333332,
Morocco,1995,26399429.0,353.725757494428,1.089,0.0,18.788833333333333,1466.78820800781
Mozambique,1995,15960530.0,388.82401735491743,0.071,,24.4765,191.82609686140609
Myanmar,1995,42605338.0,277.21601032834195,0.162,,,124.1434803905097
Namibia,1995,1602170.0,572.6028379923647,1.011,,21.60025,2483.2035341516066
Nepal,1995,22245439.0,301.7623333252664,0.104,,15.453333333333331,197.84300133032588
Netherlands,1995,15459006.0,4732.286413647307,11.146,1.253,10.594666666666669,29301.194049237634
New Zealand,1995,3673400.0,4091.525008956117,7.617,8.307,10.821083333333334,17400.42018481721
Nicaragua,1995,4642931.0,486.2692817233575,0.592,,26.92175,891.7793523099956
Niger,1995,9714529.0,171.00130079738608,0.057,,27.895416666666662,237.01998956862047
Nigeria,1995,110819428.0,256.918214458953,0.76,,27.165166666666664,1271.616173531988
North Macedonia,1995,1998534.0,1251.2156984777891,3.966,0.0,,2355.247053711382
Norway,1995,4359184.0,5391.366488854956,8.825,0.237,0.5060000000000002,34875.70433475359
Oman,1995,2120528.0,2877.3989517825,8.873,0.0,27.3235,7414.302792041086
Pakistan,1995,134582253.0,397.68240879660783,0.621,0.0,21.073916666666666,450.5502793462062
Palau,1995,17195.0,,11.279,,27.634083333333333,7038.005234079675
Panama,1995,2724557.0,728.1907939257611,1.324,,26.95808333333333,3513.8973785463104
Papua New Guinea,1995,4644278.0,,0.442,,24.984,998.2299673761314
Paraguay,1995,4579806.0,856.4239753054649,0.857,,23.96375,1978.7151409957487
Peru,1995,24348919.0,450.596166882078,1.033,0.841,20.686,2189.5343151531138
Philippines,1995,70546246.0,459.4799942631476,0.839,18.284,26.82641666666667,1199.8417141499276
Poland,1995,38594998.0,2578.208379822372,9.448,0.051,8.26225,3700.959567751443
Portugal,1995,10026176.0,2013.96965845437,5.433,3.13,16.347416666666668,11781.361850222052
Qatar,1995,514325.0,15853.75773986466,64.491,0.0,27.10308333333333,15822.509071155357
Romania,1995,22684270.0,2054.4524755478487,5.547,0.0,9.13875,1650.0492236520076
Russian Federation,1995,148375787.0,4291.533425020586,,,,2665.77978515625
