country_code,country_name,year,Electricity production from hydroelectric sources (% of total),Energy use (kg of oil equivalent per capita),Forest area (% of land area),Fossil fuel energy consumption (% of total),GDP growth (annual %),GDP per capita (current US$),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Population growth (annual %),"Population, total",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Trade (% of GDP),Urban population (% of total population)
MEX,Mexico,1988,,,,,1.21826122938586,2278.81222720992,,1.97542817137593,79695531.0,,,38.7903369479031,70.462
MEX,Mexico,1989,,,,,3.62544873456009,2725.05572275442,,1.92826260803177,81247182.0,,,38.3296500774472,70.956
MEX,Mexico,1990,20.2681353971529,1502.65916196056,36.3135111499781,79.79217409636784,5.25004329944582,3154.46920349038,32.2992214724391,1.91754932281513,82820170.0,24.6933190604038,14.4,38.5196964133297,71.419
MEX,Mexico,1991,16.9980088357912,1547.4413301937,36.1998096658865,80.5912018365738,3.97590497138043,3708.8420548157,32.1565597265772,1.92579327419213,84430572.0,22.3889303714766,13.2,35.7865351574196,71.816
MEX,Mexico,1992,19.6968328516378,1532.05083523555,36.0861081817948,78.87828308836134,3.56861354412243,4220.56643677057,32.0137939251542,1.89386319441602,86044809.0,25.6555575626204,13.4,35.553495904112,72.209
MEX,Mexico,1993,19.3369351307924,1529.66917943226,35.9724066977031,78.66343457445191,2.86699945461075,6048.34840388099,31.8693973231857,1.8526849091274,87653807.0,25.3963574182041,13.3,26.1631235736702,72.598
MEX,Mexico,1994,13.6259523825706,1536.71971480805,35.8587052136115,82.81477892118465,4.39412788764169,6202.36588372862,31.7218431756871,1.81495080594105,89259205.0,19.0218240887372,11.9,29.1584721341582,72.985
MEX,Mexico,1995,18.0810256949188,1461.03050354057,35.7450037295198,78.17928665592974,-5.91029962358286,4183.87847727479,31.5696047376741,1.78023269604442,90862455.0,23.6502285744312,13.3,43.6658317263397,73.368
MEX,Mexico,1996,19.9389946160529,1467.31082127073,35.6313022454281,77.98256280117505,6.21829715869302,4674.36792733681,31.4699339136576,1.73503044582092,92452702.0,24.6646923413511,13.1,47.7678235339067,73.67
MEX,Mexico,1997,15.7803609703092,1518.26280329371,35.5176007613365,79.91941673467261,7.19887615284711,5567.35599516667,31.4281679358189,1.68231791926668,94021207.0,19.9572519448574,12.7,46.4918755715735,73.929
MEX,Mexico,1998,13.5076575390556,1536.12241939376,35.4038992772448,81.90942617567714,6.18507893082885,5832.69342004468,31.3649080506791,1.63934798033611,95575245.0,17.5865587151132,12.2,48.0318841400179,74.186
MEX,Mexico,1999,17.1176439872592,1555.69407717508,35.2901977931531,80.13702802487626,2.75503039300564,6499.97182950425,31.2007555047592,1.5989280275378,97115707.0,20.9075244112579,12.8,48.0122495761105,74.441
MEX,Mexico,2000,16.1093958915765,1541.32297457171,35.1764963090614,81.14484790285056,5.02928399378261,7524.0271380091,30.8563115445805,1.54272528221216,98625552.0,19.7951574085329,12.2,49.9104091872497,74.722
MEX,Mexico,2001,13.3194384731854,1563.12708165755,35.1025211553795,83.21642538384404,-0.450845253215945,7952.76479510706,29.9444098873823,1.48303091731143,100099099.0,17.0973512533413,11.3,44.7401090123173,75.045
MEX,Mexico,2002,11.4338216761907,1556.55451556538,35.0285460016976,83.9376744788274,-0.236588001922641,7983.03398381759,28.3754133915972,1.43770526775457,101548624.0,15.0462375298436,10.7,45.209829259652,75.365
MEX,Mexico,2003,8.41599038172528,1644.23440955963,34.9545708480156,85.1076587292293,1.18554486709559,7434.07465031562,26.5162170155356,1.398263627903,102978515.0,12.1198939957751,10.2,48.7004168690455,75.682
MEX,Mexico,2004,10.6093449447141,1651.99432971724,34.8805956943337,83.85135260571604,3.56544102622887,7849.66759649565,24.7337157175082,1.3653083154997,104394131.0,14.4424516905671,10.2,52.0406200335632,75.997
MEX,Mexico,2005,11.0496554584317,1718.63669370638,34.8066205406518,83.7807658201843,2.11324711473297,8671.75891885163,23.3948044558255,1.34857895792648,105811504.0,15.1954515727685,10.3,52.5626446517886,76.308
MEX,Mexico,2006,11.8094964720851,1723.71763802356,34.7326453869698,84.25513071132035,4.80501351664901,9512.63575346699,22.3696630456356,1.35374920696209,107253666.0,15.3321088746747,9.8,54.4821160886169,76.616
MEX,Mexico,2007,10.306064364367,1693.77880726541,34.6586702332879,84.7817025898913,2.0778639395329,10134.3327129706,21.363754834612,1.40789058424163,108774360.0,14.0887356703145,9.5,55.2585243990368,76.92
